90840,1098,0,0.1258,1025.30,24.91,1,4.24
90890,1098,0,0.1253,1025.25,24.91,1,4.25
90940,1098,0,0.1253,1025.25,24.91,1,4.25
90990,1099,0,0.1253,1025.25,24.91,1,4.24
91040,1099,0,0.1254,1025.26,24.91,1,4.25
91090,1098,0,0.1257,1025.29,24.91,1,4.24
91140,1099,0,0.1253,1025.25,24.91,1,4.24
91190,1098,0,0.1252,1025.24,24.91,1,4.25
91240,1098,0,0.1253,1025.25,24.91,1,4.25
91290,1099,0,0.1254,1025.26,24.91,1,4.24
91340,1098,0,0.1256,1025.28,24.91,1,4.25
91390,1098,0,0.1256,1025.28,24.91,1,4.24
91440,1099,0,0.1255,1025.27,24.91,1,4.27
91490,1099,0,0.1252,1025.24,24.91,1,4.27
91540,1099,0,0.1254,1025.26,24.91,1,4.27
91590,1099,0,0.1254,1025.26,24.91,1,4.25
91640,1098,0,0.1251,1025.23,24.91,1,4.24
91690,1098,0,0.1256,1025.28,24.91,1,4.25
91740,1098,0,0.1254,1025.26,24.91,1,4.24
91790,1099,0,0.1254,1025.26,24.91,1,4.25
91840,1099,0,0.1259,1025.31,24.91,1,4.25
91890,1099,0,0.1255,1025.27,24.91,1,4.25
91940,1098,0,0.1254,1025.26,24.91,1,4.25
91990,1098,0,0.1252,1025.24,24.91,1,4.25
92040,1098,0,0.1255,1025.27,24.91,1,4.24
92092,1098,0,0.1255,1025.27,24.91,1,4.24
92141,1098,0,0.1253,1025.25,24.91,1,4.24
92191,1099,0,0.1255,1025.27,24.91,1,4.25
92241,1098,0,0.1257,1025.29,24.91,1,4.25
92291,1098,0,0.1251,1025.23,24.91,1,4.27
92341,1099,0,0.1254,1025.26,24.91,1,4.25
92391,1098,0,0.1256,1025.28,24.91,1,4.25
92441,1099,0,0.1255,1025.27,24.91,1,4.27
92491,1100,0,0.1254,1025.26,24.91,1,4.24
92541,1098,0,0.1254,1025.26,24.91,1,4.25
ESP-ROM:esp32c3-api1-20210207
Build:Feb  7 2021
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fcd5810,len:0x438
load:0x403cc710,len:0x90c
load:0x403ce710,len:0x2624
entry 0x403cc710
DEPTH_SENSOR_OK
LOW_LEVEL_DEPTH_ACTUATOR_INTERFACE_READY
=== READY SIGNAL RECEIVED ===
